id;cve_empleado;nombres;primer_apellido;segundo_apellido;modified_by;created_date;last_modified_date
1;13385;invoice;Salchichas;hack bandwidth bandwidth;Money bandwidth;2023-08-25T07:41:09;2023-08-25T09:31:07
2;86173;Programable Ladrillo;Savings Madera monitor;Madrid Pelota;synthesize Fantástico;2023-08-24T22:54:14;2023-08-25T02:42:12
3;5132;invoice Navarra;Acero Realineado;benchmark Hogar;Administrador Jordania Electrónica;2023-08-25T02:45:16;2023-08-25T08:59:32
4;51431;Japón Algodón;pixel JSON;Queso;Compatible Programable;2023-08-25T13:28:37;2023-08-25T09:03:20
5;59250;Algodón Artesanal back;synergistic;strategize Marketing efficient;Mozambique Persistente;2023-08-25T04:01:46;2023-08-25T04:46:27
6;46057;de Cambridgeshire;Moda;Informática;Asociado Tugrik Algodón;2023-08-24T21:22:32;2023-08-25T02:35:01
7;39330;Intercambiable Loan synthesize;redefine;fidelidad;Credit;2023-08-25T03:32:50;2023-08-25T10:50:22
8;98837;Torrente;Gestionado Respuesta;Pequeño;Plástico index Silla;2023-08-25T03:14:38;2023-08-25T00:11:39
9;83019;circuit alianza;interface;web-enabled;Huerta Bedfordshire HTTP;2023-08-24T20:33:02;2023-08-25T06:13:55
10;93905;Asistente;programming Puerta;solid AI;leverage out-of-the-box;2023-08-25T08:26:11;2023-08-24T19:23:21
